room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_2_248_2_332,longitude_disc_2_332_2_359,longitude_disc_2_359_2_439,latitude_disc_2_248_2_332,latitude_disc_2_332_2_359,latitude_disc_2_359_2_439
2,0,6.0,0,1,0,8.0,100.0,2,1.9374763,0.16607714,2.35239,48.83914,0,760.3225,False,True,False,False,True,False
2,0,2.0,0,0,0,9.0,100.0,0,2.1329875,0.29677016,2.36185,48.87479,1,213.44022,False,False,True,False,False,True
1,1,2.0,0,0,1,9.0,90.0,1,4.432383,0.6334109,2.30344,48.83353,1,200.15845,True,False,False,True,False,False
2,0,2.0,0,0,0,8.0,86.0,0,4.9907823,0.25436527,2.28682,48.86768,0,231.84827,True,False,False,True,False,False
2,0,5.0,0,1,0,10.0,83.0,1,0.77807915,0.08243709,2.34535,48.85155,0,900.5965,False,True,False,False,True,False
2,0,2.0,1,0,0,9.0,97.0,1,0.9699532,0.3244768,2.36287,48.86218,1,397.28772,False,False,True,False,False,True
2,0,6.0,0,0,0,9.0,96.0,2,2.6387012,0.3151204,2.34162,48.87914,0,645.4469,False,True,False,False,True,False
1,1,2.0,0,0,1,9.0,89.0,1,3.0043402,0.19049886,2.32854,48.87837,0,423.38522,True,False,False,True,False,False
1,1,2.0,0,0,0,9.0,86.0,1,1.379747,0.08962021,2.35345,48.86897,0,152.1577,False,True,False,False,True,False
2,0,4.0,0,1,0,9.0,100.0,3,2.213828,0.17648873,2.3827,48.85414,0,289.63556,False,False,True,False,False,True
2,0,3.0,0,0,0,6.0,73.0,1,1.8125452,0.17777869,2.35369,48.87286,0,348.58795,False,True,False,False,True,False
2,0,2.0,0,0,0,10.0,100.0,0,1.3838806,0.55255526,2.34167,48.84649,0,244.664,False,True,False,False,True,False
2,0,2.0,0,0,0,9.0,97.0,1,0.927088,0.21947563,2.36538,48.85635,0,364.89886,False,False,True,False,False,True
2,0,2.0,0,0,0,10.0,100.0,0,3.755024,0.087252825,2.40092,48.868,0,134.44868,False,False,True,False,False,True
2,0,3.0,0,0,0,10.0,100.0,1,2.3680804,0.21303402,2.34224,48.87671,1,301.28622,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,96.0,1,4.40313,0.21158673,2.40524,48.83737,0,183.14848,False,False,True,False,False,True
2,0,2.0,0,0,1,9.0,94.0,1,1.9992987,0.2498122,2.3321,48.86831,1,586.26154,False,True,False,False,True,False
