room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,city,realsum_cut,longitude_disc_2_093_2_347,longitude_disc_2_347_12_47,longitude_disc_12_47_12_583,latitude_disc_41_35_41_893,latitude_disc_41_893_48_837,latitude_disc_48_837_48_901
2,0,4.0,0,0,0,10.0,100.0,2,4.5273924,0.15085377,2.29458,48.8702,0,2,1093.9818,True,False,False,False,False,True
2,0,6.0,1,1,0,10.0,97.0,1,1.9932116,0.90274775,12.47835,41.89908,0,3,218.82964,False,False,True,False,True,False
2,0,4.0,1,0,1,9.0,94.0,1,0.80829716,0.22451335,12.494,41.897,0,3,195.91798,False,False,True,False,True,False
1,1,3.0,0,0,1,9.0,86.0,0,0.50231194,0.47737366,12.4984,41.89738,0,3,189.138,False,False,True,False,True,False
2,0,2.0,0,0,0,9.0,90.0,1,4.4587502,0.40063804,2.31159,48.88609,0,2,323.18948,True,False,False,False,False,True
1,1,2.0,0,0,0,10.0,99.0,1,1.827389,1.0074375,2.1888,41.37873,0,1,277.65494,True,False,False,True,False,False
1,1,3.0,0,0,1,10.0,100.0,1,2.2485485,0.08417898,12.51399,41.88263,0,3,94.45211,False,False,True,True,False,False
2,0,6.0,1,1,0,9.0,90.0,2,3.4403632,0.79121596,12.51482,41.87136,0,3,268.39362,False,False,True,True,False,False
2,0,2.0,0,0,0,10.0,99.0,1,2.1141098,0.23829493,2.38038,48.85117,0,2,341.59753,False,True,False,False,False,True
2,0,4.0,0,0,0,9.0,91.0,2,3.0117002,0.19566156,2.36706,48.88196,0,2,419.42398,False,True,False,False,False,True
2,0,3.0,0,0,1,9.0,80.0,1,2.5073242,0.32134557,2.38672,48.85905,0,2,271.69354,False,True,False,False,False,True
2,0,4.0,0,0,0,10.0,92.0,2,1.8204579,0.39318448,2.15558,41.37486,1,1,630.7166,True,False,False,True,False,False
1,1,2.0,0,0,1,10.0,87.0,1,2.855889,0.19734314,2.34684,48.88196,1,2,273.32465,False,True,False,False,False,True
