room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_2_093_2_161,longitude_disc_2_161_2_177,longitude_disc_2_177_2_226,latitude_disc_2_093_2_161,latitude_disc_2_161_2_177,latitude_disc_2_177_2_226
1,1,2.0,1,0,0,10.0,94.0,1,2.194705,0.25817138,2.1735,41.40673,1,138.94385,False,True,False,False,True,False
1,1,2.0,0,0,0,9.0,88.0,1,0.81877905,0.5594097,2.1668,41.38017,1,277.65494,False,True,False,False,True,False
2,0,4.0,0,0,1,10.0,96.0,1,3.905752,0.93676645,2.20987,41.40549,0,588.1258,False,False,True,False,False,True
1,1,2.0,1,0,0,10.0,97.0,1,2.878873,1.2038815,2.20036,41.39939,1,161.98477,False,False,True,False,False,True
1,1,2.0,0,1,0,9.0,94.0,1,0.34480724,0.10009305,2.16704,41.38929,0,182.93109,False,True,False,False,True,False
2,0,6.0,0,0,1,7.0,80.0,3,3.4762414,0.25976667,2.129,41.382,0,780.1336,True,False,False,True,False,False
1,1,2.0,0,0,1,10.0,100.0,1,0.5393659,0.19858725,2.16557,41.39066,1,205.97203,False,True,False,False,True,False
1,1,2.0,0,1,0,6.0,80.0,1,0.6471053,0.2911017,2.1757,41.39109,1,167.80319,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,97.0,1,1.0595036,0.24333921,2.18177,41.38358,1,208.53214,False,False,True,False,False,True
2,0,4.0,0,0,1,10.0,95.0,2,0.87310153,0.31924137,2.15997,41.38498,0,488.2817,True,False,False,True,False,False
1,1,2.0,0,0,1,9.0,93.0,1,0.78625524,0.4904354,2.16761,41.38029,0,231.57307,False,True,False,False,True,False
1,1,2.0,0,1,0,9.0,93.0,1,1.5342997,0.1263256,2.15171,41.38814,0,173.62161,True,False,False,True,False,False
1,1,2.0,0,1,0,9.0,91.0,1,2.450567,0.49028325,2.17663,41.40864,1,188.51677,False,False,True,False,False,True
1,1,2.0,1,1,0,10.0,98.0,1,1.344204,0.4965576,2.15468,41.39078,1,208.53214,True,False,False,True,False,False
2,0,2.0,1,1,0,10.0,94.0,1,0.90890896,0.08904966,2.17995,41.38382,0,451.5093,False,False,True,False,False,True
2,0,2.0,0,0,1,9.0,89.0,1,3.9537017,0.41653275,2.1243,41.37803,0,275.5603,True,False,False,True,False,False
1,1,2.0,1,0,0,10.0,97.0,1,7.6121264,0.6797753,2.183,41.455,1,214.11781,False,False,True,False,False,True
1,1,2.0,0,0,1,7.0,80.0,1,0.37128657,0.1914941,2.16565,41.38651,1,171.29425,False,True,False,False,True,False
2,0,3.0,0,0,1,9.0,91.0,2,2.3186285,0.5447007,2.18047,41.40648,1,532.0362,False,False,True,False,False,True
1,1,2.0,0,1,0,9.0,70.0,1,0.8364808,0.42251512,2.16157,41.39118,1,219.70349,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,93.0,1,2.2336307,0.80499303,2.16072,41.406,1,225.75465,True,False,False,True,False,False
2,0,2.0,0,0,1,10.0,100.0,3,1.6702908,0.69728774,2.18388,41.37631,1,1024.7748,False,False,True,False,False,True
2,0,4.0,0,1,0,9.0,94.0,1,2.4030895,0.6072694,2.19796,41.39219,1,543.90576,False,False,True,False,False,True
2,0,4.0,0,0,1,9.0,92.0,0,1.1440599,0.7016517,2.17501,41.39673,0,474.3175,False,True,False,False,True,False
1,1,2.0,0,0,0,7.0,86.0,1,4.856093,0.61133057,2.21296,41.41659,1,347.0105,False,False,True,False,False,True
1,1,2.0,0,1,0,7.0,82.0,1,0.41751593,0.3705892,2.16761,41.38384,1,190.84413,False,True,False,False,True,False
1,1,2.0,0,1,0,8.0,84.0,1,2.0747643,0.080443375,2.15124,41.39936,1,254.61401,True,False,False,True,False,False
1,1,2.0,0,1,0,8.0,88.0,1,0.30735892,0.2862957,2.17047,41.38439,1,176.87993,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,100.0,1,1.1312726,0.15262096,2.176,41.378,0,254.61401,False,True,False,False,True,False
1,1,2.0,1,0,0,10.0,98.0,1,0.7450831,0.29654607,2.17889,41.38656,1,208.2994,False,False,True,False,False,True
1,1,2.0,0,0,0,9.0,95.0,1,4.5951695,1.1443567,2.15826,41.42757,0,197.82623,True,False,False,True,False,False
1,1,2.0,0,1,0,10.0,100.0,1,0.39369872,0.3312198,2.1746,41.38634,0,167.80319,False,True,False,False,True,False
2,0,6.0,1,0,0,9.0,95.0,3,2.374502,0.8056981,2.16629,41.40834,0,729.16425,False,True,False,False,True,False
1,1,2.0,0,1,0,7.0,76.0,1,4.690577,0.85972935,2.22095,41.40485,0,132.89268,False,False,True,False,False,True
1,1,2.0,0,0,0,9.0,90.0,1,1.445365,0.38215318,2.15327,41.39038,1,111.01543,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,100.0,1,2.1432981,0.5705526,2.16813,41.40639,1,168.73415,False,True,False,False,True,False
