room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_12_401_12_471,longitude_disc_12_471_12_499,longitude_disc_12_499_12_583,latitude_disc_12_401_12_471,latitude_disc_12_471_12_499,latitude_disc_12_499_12_583
1,1,2.0,1,0,1,10.0,94.0,1,1.6973008,0.12918179,12.51028,41.88682,0,93.51694,False,False,True,False,False,True
2,0,4.0,0,1,0,9.0,93.0,1,1.479074,0.51157194,12.48809,41.90896,1,230.98683,False,True,False,False,True,False
2,0,4.0,0,0,0,10.0,94.0,1,3.2801228,0.2964675,12.51962,41.87435,1,180.48769,False,False,True,False,False,True
2,0,4.0,0,0,0,10.0,90.0,1,4.4240403,0.2612854,12.55378,41.89069,1,161.7843,False,False,True,False,False,True
2,0,2.0,1,0,0,10.0,99.0,1,2.9654677,0.6808704,12.52356,41.9223,0,161.5505,False,False,True,False,False,True
1,1,2.0,1,1,0,10.0,97.0,1,2.6787694,0.23841217,12.51662,41.87928,1,129.52097,False,False,True,False,False,True
2,0,4.0,0,0,0,9.0,85.0,1,1.8900841,0.17013784,12.481,41.907,0,303.46246,False,True,False,False,True,False
1,1,4.0,0,1,0,10.0,100.0,1,4.0180764,1.5973157,12.46359,41.8791,1,187.73526,True,False,False,True,False,False
1,1,2.0,1,0,1,10.0,100.0,1,1.86014,0.14153226,12.48143,41.90708,0,401.18765,False,True,False,False,True,False
2,0,4.0,1,0,0,10.0,99.0,2,4.0993195,2.0416865,12.45943,41.88248,1,196.38557,True,False,False,True,False,False
2,0,4.0,0,0,0,10.0,96.0,1,2.191106,0.61876553,12.50531,41.88128,1,179.31873,False,False,True,False,False,True
2,0,2.0,0,0,1,8.0,85.0,0,1.3219153,0.30849287,12.48968,41.89356,1,163.65465,False,True,False,False,True,False
2,0,6.0,0,0,0,9.0,85.0,2,2.4315739,0.34099475,12.51842,41.88262,1,274.00464,False,False,True,False,False,True
1,1,2.0,0,1,0,10.0,98.0,1,2.3999834,0.47852364,12.47521,41.90854,0,154.30295,False,True,False,False,True,False
2,0,3.0,0,0,0,9.0,95.0,1,4.4965734,1.0425142,12.49329,41.86095,0,172.77254,False,True,False,False,True,False
1,1,2.0,1,1,0,10.0,98.0,1,3.3042617,0.39078143,12.48614,41.87367,0,99.12795,False,True,False,False,True,False
1,1,2.0,1,0,0,10.0,96.0,1,1.8438537,1.3773236,12.497,41.917,0,131.62509,False,True,False,False,True,False
2,0,3.0,0,0,1,9.0,97.0,1,2.2831342,0.60618854,12.47563,41.90607,1,289.20114,False,True,False,False,True,False
1,1,3.0,0,0,0,10.0,100.0,2,4.6030416,0.87008137,12.45014,41.91508,1,138.63885,True,False,False,True,False,False
